"","method.HC","len.train","accuracy.HC"
"100","HCps",2467,0.377207062600321
"101","HCts",2418,0.734172077922078
"102","HCts",2483,0.738034188034188
"103","HCts",2080,0.745381526104418
"104","HCts",2448,0.726214371738258
"105","HCts",2269,0.737329042638777
"106","HCts",2459,0.73792270531401
"107","HCts",2428,0.751512706736587
"108","HCts",2485,0.743421052631579
"109","HCts",2440,0.747878787878788
"110","HCts",2446,0.739183673469388
"111","HCts",2483,0.75402576489533
"112","HCts",2471,0.732434640522876
"113","HCts",2481,0.750420168067227
"114","HCts",2317,0.744783306581059
"115","HCts",2387,0.735104669887279
"116","HCts",2473,0.733884297520661
"117","HCts",2444,0.731209150326797
"118","HCts",2472,0.732689210950081
"119","HCts",2485,0.735652173913043
"120","HCts",2139,0.740770465489567
"121","HCts",2479,0.743333333333333
"122","HCts",2415,0.740725806451613
"123","HCts",2476,0.719572368421053
"124","HCts",1996,0.727054108216433
"125","HCts",2377,0.739709443099274
"126","HCts",2382,0.741351568785197
"127","HCts",2484,0.750105708245243
"128","HCts",2468,0.726247987117552
"129","HCts",2480,0.732911392405063
"130","HCts",2484,0.728553137003841
"131","HCts",2349,0.735294117647059
"132","HCts",2412,0.744176706827309
"133","HCts",2436,0.746166263115416
"134","HCts",2364,0.730413820811571
"135","HCts",2329,0.74136546184739
"136","HCts",2480,0.733333333333333
"137","HCts",2480,0.739622641509434
"138","HCts",2424,0.738028169014085
"139","HCts",2485,0.746781115879828
"140","HCts",2481,0.754815409309791
"141","HCts",2441,0.764492753623188
"142","HCts",2406,0.749197431781701
"143","HCts",2392,0.72168284789644
"144","HCts",2452,0.745789895749799
"145","HCts",2340,0.728225806451613
"146","HCts",2481,0.743431855500821
"147","HCts",2480,0.742083333333333
"148","HCts",2460,0.728772635814889
"149","HCts",2304,0.733387031816351
"150","HCts",2442,0.730228823765556
"151","HCts",2483,0.740319865319865
"152","HCts",2482,0.744444444444444
"153","HCts",2246,0.731726907630522
"154","HCts",2485,0.747161572052402
"155","HCts",2403,0.730676328502415
"156","HCts",2484,0.743567753001715
"157","HCts",2432,0.738705738705739
"158","HCts",2470,0.746530612244898
"159","HCts",2484,0.749362786745964
"160","HCts",2479,0.756756756756757
"161","HCts",2433,0.745967741935484
"162","HCts",2371,0.727822580645161
"163","HCts",2482,0.743871513102282
"164","HCts",2479,0.745385906040268
"165","HCts",2484,0.751196172248804
"166","HCts",2476,0.725994375251105
"167","HCts",2483,0.733333333333333
"168","HCts",2357,0.758454106280193
"169","HCts",2409,0.72654370489174
"170","HCts",2464,0.737096774193548
"171","HCts",2478,0.740196078431373
"172","HCts",2184,0.742363344051447
"173","HCts",2455,0.72258064516129
"174","HCts",2422,0.742546333601934
"175","HCts",2480,0.738955823293173
"176","HCts",2483,0.743127147766323
"177","HCts",2480,0.745528455284553
"178","HCts",2426,0.731078904991948
"179","HCts",2484,0.724837662337662
"180","HCts",2481,0.749149659863946
"181","HCts",2485,0.751948051948052
"182","HCts",2437,0.743785084202085
"183","HCts",2477,0.741143317230274
"184","HCts",2483,0.743523316062176
"185","HCts",2484,0.725980180956484
"186","HCts",2482,0.732441471571906
"187","HCts",2218,0.746490172482952
"188","HCts",2478,0.729411764705882
"189","HCts",2465,0.750200803212851
"190","HCts",2288,0.751610305958132
"191","HCts",2466,0.733761026463512
"192","HCts",2479,0.743421052631579
"193","HCts",2430,0.725910931174089
"194","HCts",2484,0.740319865319865
"195","HCts",2400,0.745344129554656
"196","HCts",2457,0.74412955465587
"197","HCts",2484,0.741125541125541
"198","HCts",2458,0.735377168212989
"199","HCts",2475,0.743333333333333
"200","HCts",2467,0.731540930979133
