length.train,ID,acc.pscore.kmeans,acc.pscore.hclust
2452,1,0.27265437,0.746992783
2455,1,0.26733871,0.74233871
2457,1,0.270445344,0.742510121
2458,1,0.27551432,0.735377168
2459,1,0.27979066,0.745571659
2460,1,0.276056338,0.743661972
2464,1,0.280645161,0.753225806
2465,1,0.274297189,0.73935743
2466,1,0.262630313,0.731355253
2467,1,0.268459069,0.725120385
2468,1,0.287439614,0.732689211
2470,1,0.275102041,0.733877551
2471,1,0.262663399,0.743464052
2472,1,0.262479871,0.730273752
2473,1,0.27768595,0.748760331
2475,1,0.292083333,0.748333333
2476,1,0.275493421,0.735608553
2476,1,0.25672961,0.732020892
2477,1,0.284621578,0.75805153
2478,1,0.280252101,0.747058824
2478,1,0.270424837,0.735702614
2479,1,0.27027027,0.750422297
2479,1,0.265939597,0.729446309
2479,1,0.2775,0.735833333
2479,1,0.270148026,0.738075658
2480,1,0.267091295,0.746921444
2480,1,0.294092827,0.745991561
2480,1,0.271278826,0.740880503
2480,1,0.265833333,0.74125
2480,1,0.249186992,0.743902439
2480,1,0.279116466,0.736144578
2481,1,0.259778912,0.737244898
2481,1,0.264285714,0.743277311
2481,1,0.284482759,0.759852217
2481,1,0.27046549,0.732343499
2482,1,0.252991453,0.755555556
2482,1,0.282755706,0.743026205
2482,1,0.262959866,0.738294314
2483,1,0.259930915,0.753022453
2483,1,0.274054983,0.733247423
2483,1,0.273504274,0.758119658
2483,1,0.27483165,0.742003367
2483,1,0.266666667,0.74875
2483,1,0.267310789,0.751207729
2484,1,0.261418008,0.732492388
2484,1,0.272727273,0.752380952
2484,1,0.267557087,0.738043947
2484,1,0.279588336,0.739708405
2484,1,0.294067435,0.731113956
2484,1,0.263381478,0.749362787
2484,1,0.280761099,0.729386892
2484,1,0.278198653,0.72979798
2484,1,0.284496753,0.755681818
2485,1,0.267105263,0.748245614
2485,1,0.291703057,0.748471616
2485,1,0.270869565,0.733043478
2485,1,0.265367965,0.739393939
2485,1,0.270386266,0.745922747
